Season,Home Team,Away Team,Home Team Goals,Away Team Goals,Score,Winner,Loser
2008/09,Rennes,Sochaux,1,0,1,Rennes,Sochaux
2008/09,Bordeaux,Auxerre,2,0,2,Bordeaux,Auxerre
2008/09,Caen,Le Havre,0,1,1,Le Havre,Caen
2008/09,Grenoble,Marseille,0,3,3,Marseille,Grenoble
2008/09,Lorient,Nice,0,1,1,Nice,Lorient
2008/09,Monaco,Lyon,0,1,1,Lyon,Monaco
2008/09,Nantes,Toulouse,1,1,2,Draw,Draw
2008/09,Sochaux,Le Mans,2,1,3,Sochaux,Le Mans
2008/09,Paris SG,Lille,1,0,1,Paris SG,Lille
2008/09,St Etienne,Rennes,0,3,3,Rennes,St Etienne
2008/09,Valenciennes,Nancy,0,1,1,Nancy,Valenciennes
2008/09,Auxerre,Sochaux,1,0,1,Auxerre,Sochaux
2008/09,Le Havre,Paris SG,1,3,4,Paris SG,Le Havre
2008/09,Le Mans,Valenciennes,1,0,1,Le Mans,Valenciennes
2008/09,Lille,St Etienne,3,0,3,Lille,St Etienne
2008/09,Marseille,Lorient,2,3,5,Lorient,Marseille
2008/09,Nancy,Caen,1,1,2,Draw,Draw
2008/09,Toulouse,Grenoble,2,0,2,Toulouse,Grenoble
2008/09,Lyon,Bordeaux,2,1,3,Lyon,Bordeaux
2008/09,Nice,Nantes,2,1,3,Nice,Nantes
2008/09,Rennes,Monaco,2,1,3,Rennes,Monaco
2008/09,Bordeaux,Rennes,1,1,2,Draw,Draw
2008/09,Caen,Auxerre,1,0,1,Caen,Auxerre
2008/09,Grenoble,Le Havre,0,0,0,Draw,Draw
2008/09,Lorient,Toulouse,1,0,1,Lorient,Toulouse
2008/09,Paris SG,Lyon,1,0,1,Paris SG,Lyon
2008/09,St Etienne,Nice,0,1,1,Nice,St Etienne
2008/09,Valenciennes,Sochaux,2,2,4,Draw,Draw
2008/09,Marseille,Lille,2,2,4,Draw,Draw
2008/09,Monaco,Le Mans,3,0,3,Monaco,Le Mans
2008/09,Nantes,Nancy,0,1,1,Nancy,Nantes
2008/09,Auxerre,Monaco,0,1,1,Monaco,Auxerre
2008/09,Le Havre,Nantes,0,2,2,Nantes,Le Havre
2008/09,Le Mans,Caen,2,0,2,Le Mans,Caen
2008/09,Lille,Lorient,1,1,2,Draw,Draw
2008/09,Lyon,Valenciennes,0,0,0,Draw,Draw
2008/09,Sochaux,Bordeaux,0,0,0,Draw,Draw
2008/09,Nancy,St Etienne,1,2,3,St Etienne,Nancy
2008/09,Rennes,Paris SG,1,0,1,Rennes,Paris SG
2008/09,Toulouse,Marseille,0,0,0,Draw,Draw
2008/09,Bordeaux,Valenciennes,2,1,3,Bordeaux,Valenciennes
2008/09,Caen,Rennes,1,1,2,Draw,Draw
2008/09,Lille,Toulouse,1,1,2,Draw,Draw
2008/09,Marseille,Nice,2,1,3,Marseille,Nice
2008/09,St Etienne,Le Havre,2,0,2,St Etienne,Le Havre
2008/09,Grenoble,Auxerre,0,0,0,Draw,Draw
2008/09,Lorient,Nancy,1,0,1,Lorient,Nancy
2008/09,Monaco,Sochaux,1,1,2,Draw,Draw
2008/09,Nantes,Lyon,2,1,3,Nantes,Lyon
2008/09,Paris SG,Le Mans,3,1,4,Paris SG,Le Mans
2008/09,Nice,Grenoble,0,0,0,Draw,Draw
2008/09,Auxerre,Paris SG,1,2,3,Paris SG,Auxerre
2008/09,Le Mans,Bordeaux,1,3,4,Bordeaux,Le Mans
2008/09,Nancy,Grenoble,2,0,2,Nancy,Grenoble
2008/09,Rennes,Nantes,0,0,0,Draw,Draw
2008/09,Sochaux,Caen,2,2,4,Draw,Draw
2008/09,Toulouse,St Etienne,3,1,4,Toulouse,St Etienne
2008/09,Valenciennes,Monaco,3,1,4,Valenciennes,Monaco
2008/09,Le Havre,Lorient,1,3,4,Lorient,Le Havre
2008/09,Lyon,Marseille,0,0,0,Draw,Draw
2008/09,Nice,Lille,0,1,1,Lille,Nice
2008/09,Caen,Lyon,0,1,1,Lyon,Caen
2008/09,Grenoble,Le Mans,2,1,3,Grenoble,Le Mans
2008/09,Lille,Le Havre,3,1,4,Lille,Le Havre
2008/09,Lorient,Rennes,1,2,3,Rennes,Lorient
2008/09,Nantes,Sochaux,1,1,2,Draw,Draw
2008/09,St Etienne,Auxerre,2,0,2,St Etienne,Auxerre
2008/09,Toulouse,Nice,2,2,4,Draw,Draw
2008/09,Marseille,Nancy,0,3,3,Nancy,Marseille
2008/09,Monaco,Bordeaux,3,4,7,Bordeaux,Monaco
2008/09,Paris SG,Valenciennes,2,2,4,Draw,Draw
2008/09,Auxerre,Marseille,0,2,2,Marseille,Auxerre
2008/09,Le Havre,Toulouse,0,1,1,Toulouse,Le Havre
2008/09,Lyon,Lorient,1,1,2,Draw,Draw
2008/09,Monaco,Nantes,1,2,3,Nantes,Monaco
2008/09,Rennes,Grenoble,1,0,1,Rennes,Grenoble
2008/09,Sochaux,St Etienne,1,0,1,Sochaux,St Etienne
2008/09,Bordeaux,Paris SG,4,0,4,Bordeaux,Paris SG
2008/09,Grenoble,Lyon,0,2,2,Lyon,Grenoble
2008/09,Lorient,Valenciennes,1,1,2,Draw,Draw
2008/09,Marseille,Le Havre,2,0,2,Marseille,Le Havre
2008/09,Nantes,Bordeaux,1,2,3,Bordeaux,Nantes
2008/09,Nice,Auxerre,2,0,2,Nice,Auxerre
2008/09,St Etienne,Le Mans,1,1,2,Draw,Draw
2008/09,Toulouse,Nancy,3,0,3,Toulouse,Nancy
2008/09,Caen,Monaco,2,2,4,Draw,Draw
2008/09,Lille,Rennes,1,0,1,Lille,Rennes
2008/09,Paris SG,Sochaux,2,1,3,Paris SG,Sochaux
2008/09,Auxerre,Lorient,0,0,0,Draw,Draw
2008/09,Le Havre,Nancy,2,3,5,Nancy,Le Havre
2008/09,Le Mans,Nantes,0,2,2,Nantes,Le Mans
2008/09,Monaco,Grenoble,1,0,1,Monaco,Grenoble
2008/09,Paris SG,Caen,2,0,2,Paris SG,Caen
2008/09,Rennes,Toulouse,0,0,0,Draw,Draw
2008/09,Valenciennes,Nice,1,0,1,Valenciennes,Nice
2008/09,Bordeaux,Lille,2,2,4,Draw,Draw
2008/09,Lyon,St Etienne,1,1,2,Draw,Draw
2008/09,Sochaux,Marseille,1,0,1,Sochaux,Marseille
2008/09,Le Havre,Rennes,1,0,1,Le Havre,Rennes
2008/09,Lille,Sochaux,3,2,5,Lille,Sochaux
2008/09,Lorient,Monaco,1,1,2,Draw,Draw
2008/09,Nancy,Auxerre,0,2,2,Auxerre,Nancy
2008/09,Nantes,Paris SG,1,4,5,Paris SG,Nantes
2008/09,St Etienne,Caen,3,2,5,St Etienne,Caen
2008/09,Toulouse,Le Mans,2,0,2,Toulouse,Le Mans
2008/09,Grenoble,Valenciennes,0,0,0,Draw,Draw
2008/09,Marseille,Bordeaux,1,0,1,Marseille,Bordeaux
2008/09,Nice,Lyon,1,3,4,Lyon,Nice
2008/09,Auxerre,Lille,2,0,2,Auxerre,Lille
2008/09,Bordeaux,Grenoble,1,1,2,Draw,Draw
2008/09,Caen,Lorient,1,1,2,Draw,Draw
2008/09,Le Mans,Nice,1,2,3,Nice,Le Mans
2008/09,Paris SG,St Etienne,2,1,3,Paris SG,St Etienne
2008/09,Rennes,Nancy,1,1,2,Draw,Draw
2008/09,Valenciennes,Nantes,1,1,2,Draw,Draw
2008/09,Lyon,Le Havre,3,1,4,Lyon,Le Havre
2008/09,Monaco,Marseille,0,1,1,Marseille,Monaco
2008/09,Sochaux,Toulouse,1,2,3,Toulouse,Sochaux
2008/09,Le Mans,Lille,0,0,0,Draw,Draw
2008/09,Nancy,Nice,1,2,3,Nice,Nancy
2008/09,Valenciennes,Caen,2,0,2,Valenciennes,Caen
2008/09,Grenoble,Paris SG,0,0,0,Draw,Draw
2008/09,Le Havre,Auxerre,1,2,3,Auxerre,Le Havre
2008/09,Lorient,Sochaux,1,2,3,Sochaux,Lorient
2008/09,Nancy,Lyon,0,2,2,Lyon,Nancy
2008/09,Nantes,Caen,1,1,2,Draw,Draw
2008/09,Nice,Rennes,0,1,1,Rennes,Nice
2008/09,Toulouse,Valenciennes,0,0,0,Draw,Draw
2008/09,Lille,Monaco,2,1,3,Lille,Monaco
2008/09,Marseille,Le Mans,0,0,0,Draw,Draw
2008/09,St Etienne,Bordeaux,1,1,2,Draw,Draw
2008/09,Auxerre,Toulouse,1,1,2,Draw,Draw
2008/09,Le Mans,Le Havre,2,0,2,Le Mans,Le Havre
2008/09,Nantes,Grenoble,1,1,2,Draw,Draw
2008/09,Sochaux,Nice,1,0,1,Sochaux,Nice
2008/09,Valenciennes,Lille,2,0,2,Valenciennes,Lille
2008/09,Bordeaux,Lorient,1,0,1,Bordeaux,Lorient
2008/09,Caen,Marseille,0,1,1,Marseille,Caen
2008/09,Lyon,Rennes,1,1,2,Draw,Draw
2008/09,Monaco,St Etienne,2,2,4,Draw,Draw
2008/09,Paris SG,Nancy,4,1,5,Paris SG,Nancy
2008/09,Grenoble,Caen,2,1,3,Grenoble,Caen
2008/09,Lille,Lyon,2,0,2,Lille,Lyon
2008/09,Lorient,Paris SG,0,1,1,Paris SG,Lorient
2008/09,Marseille,Valenciennes,0,0,0,Draw,Draw
2008/09,Nancy,Le Mans,2,2,4,Draw,Draw
2008/09,Nice,Monaco,0,0,0,Draw,Draw
2008/09,Toulouse,Bordeaux,3,0,3,Toulouse,Bordeaux
2008/09,Le Havre,Sochaux,2,1,3,Le Havre,Sochaux
2008/09,Rennes,Auxerre,2,0,2,Rennes,Auxerre
2008/09,St Etienne,Nantes,2,1,3,St Etienne,Nantes
2008/09,Bordeaux,Nice,2,1,3,Bordeaux,Nice
2008/09,Caen,Lille,0,1,1,Lille,Caen
2008/09,Le Mans,Rennes,2,2,4,Draw,Draw
2008/09,Monaco,Toulouse,3,2,5,Monaco,Toulouse
2008/09,Nantes,Lorient,1,1,2,Draw,Draw
2008/09,Sochaux,Nancy,2,1,3,Sochaux,Nancy
2008/09,Valenciennes,Le Havre,3,2,5,Valenciennes,Le Havre
2008/09,Grenoble,St Etienne,1,0,1,Grenoble,St Etienne
2008/09,Lyon,Auxerre,0,2,2,Auxerre,Lyon
2008/09,Paris SG,Marseille,1,3,4,Marseille,Paris SG
2008/09,Auxerre,Le Mans,2,0,2,Auxerre,Le Mans
2008/09,Le Havre,Bordeaux,0,3,3,Bordeaux,Le Havre
2008/09,Lille,Grenoble,2,1,3,Lille,Grenoble
2008/09,Marseille,Nantes,2,0,2,Marseille,Nantes
2008/09,Nancy,Monaco,0,1,1,Monaco,Nancy
2008/09,Nice,Caen,2,2,4,Draw,Draw
2008/09,Rennes,Valenciennes,0,0,0,Draw,Draw
2008/09,Lorient,St Etienne,3,1,4,Lorient,St Etienne
2008/09,Lyon,Sochaux,2,0,2,Lyon,Sochaux
2008/09,Toulouse,Paris SG,4,1,5,Toulouse,Paris SG
2008/09,Bordeaux,Nancy,1,0,1,Bordeaux,Nancy
2008/09,Caen,Toulouse,0,0,0,Draw,Draw
2008/09,Grenoble,Lorient,1,3,4,Lorient,Grenoble
2008/09,Le Mans,Lyon,1,3,4,Lyon,Le Mans
2008/09,Monaco,Le Havre,0,1,1,Le Havre,Monaco
2008/09,Nantes,Lille,0,2,2,Lille,Nantes
2008/09,Valenciennes,Auxerre,2,0,2,Valenciennes,Auxerre
2008/09,Paris SG,Nice,2,1,3,Paris SG,Nice
2008/09,Sochaux,Rennes,3,0,3,Sochaux,Rennes
2008/09,St Etienne,Marseille,0,3,3,Marseille,St Etienne
2008/09,Auxerre,Bordeaux,0,2,2,Bordeaux,Auxerre
2008/09,Le Havre,Caen,1,2,3,Caen,Le Havre
2008/09,Le Mans,Sochaux,2,0,2,Le Mans,Sochaux
2008/09,Nancy,Valenciennes,2,0,2,Nancy,Valenciennes
2008/09,Nice,Lorient,2,0,2,Nice,Lorient
2008/09,Rennes,St Etienne,1,0,1,Rennes,St Etienne
2008/09,Toulouse,Nantes,1,0,1,Toulouse,Nantes
2008/09,Lille,Paris SG,0,0,0,Draw,Draw
2008/09,Lyon,Monaco,2,2,4,Draw,Draw
2008/09,Marseille,Grenoble,4,1,5,Marseille,Grenoble
2008/09,Caen,Nancy,1,2,3,Nancy,Caen
2008/09,Grenoble,Toulouse,1,0,1,Grenoble,Toulouse
2008/09,Monaco,Rennes,3,1,4,Monaco,Rennes
2008/09,Nantes,Nice,2,0,2,Nantes,Nice
2008/09,Sochaux,Auxerre,0,1,1,Auxerre,Sochaux
2008/09,St Etienne,Lille,2,1,3,St Etienne,Lille
2008/09,Valenciennes,Le Mans,0,2,2,Le Mans,Valenciennes
2008/09,Bordeaux,Lyon,1,0,1,Bordeaux,Lyon
2008/09,Lorient,Marseille,1,2,3,Marseille,Lorient
2008/09,Paris SG,Le Havre,3,0,3,Paris SG,Le Havre
2008/09,Lyon,Paris SG,0,0,0,Draw,Draw
2008/09,Auxerre,Caen,2,1,3,Auxerre,Caen
2008/09,Le Havre,Grenoble,0,1,1,Grenoble,Le Havre
2008/09,Le Mans,Monaco,0,1,1,Monaco,Le Mans
2008/09,Lille,Marseille,1,2,3,Marseille,Lille
2008/09,Nancy,Nantes,2,0,2,Nancy,Nantes
2008/09,Nice,St Etienne,3,1,4,Nice,St Etienne
2008/09,Sochaux,Valenciennes,1,1,2,Draw,Draw
2008/09,Toulouse,Lorient,1,1,2,Draw,Draw
2008/09,Rennes,Bordeaux,2,3,5,Bordeaux,Rennes
2008/09,Caen,Le Mans,3,1,4,Caen,Le Mans
2008/09,Grenoble,Nice,0,0,0,Draw,Draw
2008/09,Lorient,Lille,3,1,4,Lorient,Lille
2008/09,Marseille,Toulouse,2,2,4,Draw,Draw
2008/09,Monaco,Auxerre,0,1,1,Auxerre,Monaco
2008/09,St Etienne,Nancy,0,0,0,Draw,Draw
2008/09,Valenciennes,Lyon,2,0,2,Valenciennes,Lyon
2008/09,Bordeaux,Sochaux,3,0,3,Bordeaux,Sochaux
2008/09,Nantes,Le Havre,1,2,3,Le Havre,Nantes
2008/09,Paris SG,Rennes,0,1,1,Rennes,Paris SG
2008/09,Lyon,Nantes,3,0,3,Lyon,Nantes
2008/09,Auxerre,Grenoble,2,0,2,Auxerre,Grenoble
2008/09,Le Havre,St Etienne,2,4,6,St Etienne,Le Havre
2008/09,Le Mans,Paris SG,0,1,1,Paris SG,Le Mans
2008/09,Nancy,Lorient,2,2,4,Draw,Draw
2008/09,Nice,Marseille,0,2,2,Marseille,Nice
2008/09,Rennes,Caen,1,0,1,Rennes,Caen
2008/09,Sochaux,Monaco,3,0,3,Sochaux,Monaco
2008/09,Toulouse,Lille,0,0,0,Draw,Draw
2008/09,Valenciennes,Bordeaux,1,2,3,Bordeaux,Valenciennes
2008/09,Bordeaux,Le Mans,3,2,5,Bordeaux,Le Mans
2008/09,Caen,Sochaux,2,0,2,Caen,Sochaux
2008/09,Grenoble,Nancy,0,0,0,Draw,Draw
2008/09,Lorient,Le Havre,1,1,2,Draw,Draw
2008/09,Monaco,Valenciennes,1,1,2,Draw,Draw
2008/09,Paris SG,Auxerre,1,2,3,Auxerre,Paris SG
2008/09,St Etienne,Toulouse,2,2,4,Draw,Draw
2008/09,Lille,Nice,1,1,2,Draw,Draw
2008/09,Marseille,Lyon,1,3,4,Lyon,Marseille
2008/09,Nantes,Rennes,1,1,2,Draw,Draw
2008/09,Auxerre,St Etienne,1,0,1,Auxerre,St Etienne
2008/09,Bordeaux,Monaco,1,0,1,Bordeaux,Monaco
2008/09,Le Havre,Lille,0,1,1,Lille,Le Havre
2008/09,Le Mans,Grenoble,1,1,2,Draw,Draw
2008/09,Lyon,Caen,3,1,4,Lyon,Caen
2008/09,Nancy,Marseille,1,2,3,Marseille,Nancy
2008/09,Nice,Toulouse,0,2,2,Toulouse,Nice
2008/09,Rennes,Lorient,3,1,4,Rennes,Lorient
2008/09,Sochaux,Nantes,2,1,3,Sochaux,Nantes
2008/09,Valenciennes,Paris SG,2,1,3,Valenciennes,Paris SG
2008/09,Caen,Bordeaux,0,1,1,Bordeaux,Caen
2008/09,Grenoble,Sochaux,0,1,1,Sochaux,Grenoble
2008/09,Lille,Nancy,3,2,5,Lille,Nancy
2008/09,Lorient,Le Mans,1,1,2,Draw,Draw
2008/09,Marseille,Rennes,4,0,4,Marseille,Rennes
2008/09,Nantes,Auxerre,2,1,3,Nantes,Auxerre
2008/09,Nice,Le Havre,0,0,0,Draw,Draw
2008/09,Paris SG,Monaco,0,0,0,Draw,Draw
2008/09,St Etienne,Valenciennes,4,0,4,St Etienne,Valenciennes
2008/09,Toulouse,Lyon,0,0,0,Draw,Draw
2009/10,Auxerre,Sochaux,0,1,1,Sochaux,Auxerre
2009/10,Grenoble,Marseille,0,2,2,Marseille,Grenoble
2009/10,Le Mans,Lyon,2,2,4,Draw,Draw
2009/10,Monaco,Toulouse,1,0,1,Monaco,Toulouse
2009/10,Montpellier,Paris SG,1,1,2,Draw,Draw
2009/10,Rennes,Boulogne,3,0,3,Rennes,Boulogne
2009/10,St Etienne,Nice,0,2,2,Nice,St Etienne
2009/10,Valenciennes,Nancy,1,3,4,Nancy,Valenciennes
2009/10,Bordeaux,Lens,4,1,5,Bordeaux,Lens
2009/10,Lille,Lorient,1,2,3,Lorient,Lille
2009/10,Lens,Auxerre,2,0,2,Lens,Auxerre
2009/10,Lorient,Montpellier,2,2,4,Draw,Draw
2009/10,Lyon,Valenciennes,1,0,1,Lyon,Valenciennes
2009/10,Nancy,Monaco,4,0,4,Nancy,Monaco
2009/10,Paris SG,Le Mans,3,1,4,Paris SG,Le Mans
2009/10,Sochaux,Bordeaux,2,3,5,Bordeaux,Sochaux
2009/10,Toulouse,St Etienne,3,1,4,Toulouse,St Etienne
2009/10,Boulogne,Grenoble,2,1,3,Boulogne,Grenoble
2009/10,Marseille,Lille,1,0,1,Marseille,Lille
2009/10,Nice,Rennes,1,1,2,Draw,Draw
2009/10,Auxerre,Lyon,0,3,3,Lyon,Auxerre
2009/10,Le Mans,Nancy,2,1,3,Le Mans,Nancy
2009/10,Monaco,Lorient,2,0,2,Monaco,Lorient
2009/10,Montpellier,Sochaux,2,0,2,Montpellier,Sochaux
2009/10,Rennes,Marseille,1,1,2,Draw,Draw
2009/10,St Etienne,Boulogne,0,1,1,Boulogne,St Etienne
2009/10,Valenciennes,Paris SG,2,3,5,Paris SG,Valenciennes
2009/10,Bordeaux,Nice,4,0,4,Bordeaux,Nice
2009/10,Grenoble,Lens,1,2,3,Lens,Grenoble
2009/10,Lille,Toulouse,1,1,2,Draw,Draw
2009/10,Boulogne,Auxerre,0,0,0,Draw,Draw
2009/10,Lens,Rennes,2,2,4,Draw,Draw
2009/10,Lorient,Le Mans,1,0,1,Lorient,Le Mans
2009/10,Lyon,Nancy,3,1,4,Lyon,Nancy
2009/10,Nice,Montpellier,0,3,3,Montpellier,Nice
2009/10,Sochaux,Monaco,1,0,1,Sochaux,Monaco
2009/10,St Etienne,Grenoble,1,0,1,St Etienne,Grenoble
2009/10,Marseille,Bordeaux,0,0,0,Draw,Draw
2009/10,Paris SG,Lille,3,0,3,Paris SG,Lille
2009/10,Toulouse,Valenciennes,0,1,1,Valenciennes,Toulouse
2009/10,Bordeaux,Grenoble,1,0,1,Bordeaux,Grenoble
2009/10,Le Mans,Marseille,1,2,3,Marseille,Le Mans
2009/10,Lille,Sochaux,1,0,1,Lille,Sochaux
2009/10,Lyon,Lorient,1,0,1,Lyon,Lorient
2009/10,Montpellier,Lens,1,0,1,Montpellier,Lens
2009/10,Nancy,Toulouse,0,0,0,Draw,Draw
2009/10,Valenciennes,Boulogne,1,1,2,Draw,Draw
2009/10,Auxerre,Nice,2,0,2,Auxerre,Nice
2009/10,Monaco,Paris SG,2,0,2,Monaco,Paris SG
2009/10,Rennes,St Etienne,1,0,1,Rennes,St Etienne
2009/10,Boulogne,Bordeaux,0,2,2,Bordeaux,Boulogne
2009/10,Grenoble,Rennes,0,4,4,Rennes,Grenoble
2009/10,Lorient,Nancy,3,1,4,Lorient,Nancy
2009/10,Marseille,Montpellier,4,2,6,Marseille,Montpellier
2009/10,Nice,Monaco,1,3,4,Monaco,Nice
2009/10,Sochaux,Valenciennes,2,5,7,Valenciennes,Sochaux
2009/10,St Etienne,Auxerre,1,1,2,Draw,Draw
2009/10,Lens,Lille,1,1,2,Draw,Draw
2009/10,Paris SG,Lyon,1,1,2,Draw,Draw
2009/10,Toulouse,Le Mans,2,0,2,Toulouse,Le Mans
2009/10,Auxerre,Grenoble,2,0,2,Auxerre,Grenoble
2009/10,Lorient,Paris SG,1,1,2,Draw,Draw
2009/10,Lyon,Toulouse,2,1,3,Lyon,Toulouse
2009/10,Monaco,St Etienne,1,2,3,St Etienne,Monaco
2009/10,Montpellier,Boulogne,1,0,1,Montpellier,Boulogne
2009/10,Nancy,Sochaux,2,1,3,Nancy,Sochaux
2009/10,Valenciennes,Marseille,3,2,5,Valenciennes,Marseille
2009/10,Bordeaux,Rennes,1,0,1,Bordeaux,Rennes
2009/10,Le Mans,Lens,3,0,3,Le Mans,Lens
2009/10,Lille,Nice,1,1,2,Draw,Draw
2009/10,Grenoble,Montpellier,2,3,5,Montpellier,Grenoble
2009/10,Lens,Lyon,0,2,2,Lyon,Lens
2009/10,Nice,Valenciennes,3,2,5,Nice,Valenciennes
2009/10,Paris SG,Nancy,1,1,2,Draw,Draw
2009/10,Rennes,Auxerre,0,1,1,Auxerre,Rennes
2009/10,Sochaux,Le Mans,1,0,1,Sochaux,Le Mans
2009/10,St Etienne,Bordeaux,3,1,4,St Etienne,Bordeaux
2009/10,Boulogne,Lille,2,3,5,Lille,Boulogne
2009/10,Marseille,Monaco,1,2,3,Monaco,Marseille
2009/10,Toulouse,Lorient,0,1,1,Lorient,Toulouse
2009/10,Auxerre,Bordeaux,1,0,1,Auxerre,Bordeaux
2009/10,Le Mans,Boulogne,1,1,2,Draw,Draw
2009/10,Lille,Rennes,0,0,0,Draw,Draw
2009/10,Lyon,Sochaux,0,2,2,Sochaux,Lyon
2009/10,Montpellier,St Etienne,2,1,3,Montpellier,St Etienne
2009/10,Nancy,Marseille,0,3,3,Marseille,Nancy
2009/10,Valenciennes,Grenoble,2,0,2,Valenciennes,Grenoble
2009/10,Lorient,Nice,4,1,5,Lorient,Nice
2009/10,Monaco,Lens,2,0,2,Monaco,Lens
2009/10,Toulouse,Paris SG,1,0,1,Toulouse,Paris SG
2009/10,Bordeaux,Le Mans,3,0,3,Bordeaux,Le Mans
2009/10,Boulogne,Monaco,1,3,4,Monaco,Boulogne
2009/10,Grenoble,Nancy,1,2,3,Nancy,Grenoble
2009/10,Nice,Lyon,4,1,5,Nice,Lyon
2009/10,Rennes,Montpellier,3,0,3,Rennes,Montpellier
2009/10,Sochaux,Lorient,1,0,1,Sochaux,Lorient
2009/10,St Etienne,Valenciennes,0,2,2,Valenciennes,St Etienne
2009/10,Auxerre,Lille,3,2,5,Auxerre,Lille
2009/10,Lens,Toulouse,0,2,2,Toulouse,Lens
2009/10,Auxerre,Montpellier,2,1,3,Auxerre,Montpellier
2009/10,Bordeaux,Monaco,1,0,1,Bordeaux,Monaco
2009/10,Boulogne,Nancy,1,2,3,Nancy,Boulogne
2009/10,Grenoble,Lille,0,2,2,Lille,Grenoble
2009/10,Lens,Lorient,1,1,2,Draw,Draw
2009/10,Marseille,Toulouse,1,1,2,Draw,Draw
2009/10,St Etienne,Lyon,0,1,1,Lyon,St Etienne
2009/10,Nice,Le Mans,1,0,1,Nice,Le Mans
2009/10,Rennes,Valenciennes,0,3,3,Valenciennes,Rennes
2009/10,Sochaux,Paris SG,1,4,5,Paris SG,Sochaux
2009/10,Le Mans,Auxerre,0,1,1,Auxerre,Le Mans
2009/10,Lorient,Boulogne,5,0,5,Lorient,Boulogne
2009/10,Monaco,Grenoble,0,0,0,Draw,Draw
2009/10,Nancy,St Etienne,0,1,1,St Etienne,Nancy
2009/10,Paris SG,Nice,0,1,1,Nice,Paris SG
2009/10,Sochaux,Lens,1,2,3,Lens,Sochaux
2009/10,Valenciennes,Montpellier,1,1,2,Draw,Draw
2009/10,Lille,Bordeaux,2,0,2,Lille,Bordeaux
2009/10,Lyon,Marseille,5,5,10,Draw,Draw
2009/10,Toulouse,Rennes,3,2,5,Toulouse,Rennes
2009/10,Marseille,Paris SG,1,0,1,Marseille,Paris SG
2009/10,Auxerre,Monaco,2,0,2,Auxerre,Monaco
2009/10,Bordeaux,Valenciennes,0,1,1,Valenciennes,Bordeaux
2009/10,Grenoble,Lyon,1,1,2,Draw,Draw
2009/10,Lens,Nancy,2,1,3,Lens,Nancy
2009/10,Rennes,Le Mans,2,1,3,Rennes,Le Mans
2009/10,Montpellier,Lille,2,0,2,Montpellier,Lille
2009/10,Nice,Toulouse,1,0,1,Nice,Toulouse
2009/10,St Etienne,Lorient,0,2,2,Lorient,St Etienne
2009/10,Lens,Marseille,1,0,1,Lens,Marseille
2009/10,Lille,Valenciennes,4,0,4,Lille,Valenciennes
2009/10,Lorient,Grenoble,2,2,4,Draw,Draw
2009/10,Paris SG,Auxerre,1,0,1,Paris SG,Auxerre
2009/10,Sochaux,Nice,1,0,1,Sochaux,Nice
2009/10,Toulouse,Boulogne,1,0,1,Toulouse,Boulogne
2009/10,Le Mans,St Etienne,1,1,2,Draw,Draw
2009/10,Lyon,Rennes,1,1,2,Draw,Draw
2009/10,Nancy,Bordeaux,0,3,3,Bordeaux,Nancy
2009/10,Boulogne,Paris SG,2,5,7,Paris SG,Boulogne
2009/10,Bordeaux,Paris SG,1,0,1,Bordeaux,Paris SG
2009/10,Montpellier,Le Mans,2,1,3,Montpellier,Le Mans
2009/10,Nice,Marseille,1,3,4,Marseille,Nice
2009/10,Rennes,Lorient,1,0,1,Rennes,Lorient
2009/10,St Etienne,Sochaux,0,0,0,Draw,Draw
2009/10,Valenciennes,Monaco,3,1,4,Valenciennes,Monaco
2009/10,Auxerre,Nancy,1,3,4,Nancy,Auxerre
2009/10,Boulogne,Lens,2,1,3,Boulogne,Lens
2009/10,Grenoble,Toulouse,1,0,1,Grenoble,Toulouse
2009/10,Lille,Lyon,4,3,7,Lille,Lyon
2009/10,Lille,St Etienne,4,0,4,Lille,St Etienne
2009/10,Toulouse,Sochaux,2,0,2,Toulouse,Sochaux
2009/10,Le Mans,Valenciennes,2,1,3,Le Mans,Valenciennes
2009/10,Lens,Nice,2,0,2,Lens,Nice
2009/10,Lorient,Auxerre,0,0,0,Draw,Draw
2009/10,Marseille,Boulogne,2,0,2,Marseille,Boulogne
2009/10,Nancy,Rennes,1,2,3,Rennes,Nancy
2009/10,Lyon,Bordeaux,0,1,1,Bordeaux,Lyon
2009/10,Monaco,Lille,0,4,4,Lille,Monaco
2009/10,Paris SG,St Etienne,3,0,3,Paris SG,St Etienne
2009/10,Sochaux,Grenoble,1,0,1,Sochaux,Grenoble
2009/10,Toulouse,Montpellier,0,1,1,Montpellier,Toulouse
2009/10,Valenciennes,Auxerre,0,0,0,Draw,Draw
2009/10,Le Mans,Grenoble,1,0,1,Le Mans,Grenoble
2009/10,Lorient,Marseille,1,2,3,Marseille,Lorient
2009/10,Lyon,Boulogne,2,0,2,Lyon,Boulogne
2009/10,Monaco,Rennes,1,0,1,Monaco,Rennes
2009/10,Montpellier,Bordeaux,0,1,1,Bordeaux,Montpellier
2009/10,Nancy,Nice,2,0,2,Nancy,Nice
2009/10,Paris SG,Lens,1,1,2,Draw,Draw
2009/10,Bordeaux,Lorient,4,1,5,Bordeaux,Lorient
2009/10,Grenoble,Nice,1,1,2,Draw,Draw
2009/10,Montpellier,Nancy,0,2,2,Nancy,Montpellier
2009/10,Rennes,Paris SG,1,0,1,Rennes,Paris SG
